Source,Target
AT1G04480,AT2G01250
AT1G04480,AT5G60670
AT1G04480,AT3G04400
AT1G04480,AT5G18380
AT1G04480,AT5G52650
AT1G04480,AT3G46040
AT1G04480,AT2G09990
AT1G04480,AT1G74270
AT1G04480,AT5G67510
AT1G04480,AT1G01800
AT1G04480,AT3G05590
AT1G04480,AT3G45030
AT1G04480,AT5G64140
AT1G04480,AT5G47930
AT1G04480,AT5G62300
AT1G04480,AT5G56710
AT1G04480,AT5G59850
AT1G04480,AT5G23740
AT1G04480,AT5G28060
AT1G04480,AT1G09590
AT1G04480,AT2G33370
AT1G04480,AT1G04270
AT1G04480,AT5G46430
AT1G04480,AT1G07770
AT1G04480,AT5G58420
AT1G04480,AT2G19740
AT1G04480,AT1G09690
AT1G04480,AT5G23900
AT1G04480,AT3G48930
AT1G04480,AT5G27850
AT1G04480,AT3G22230
AT2G01250,AT1G78900
AT2G01250,AT5G14320
AT2G01250,AT1G69620
AT2G01250,AT1G07770
AT2G01250,AT3G05590
AT2G01250,AT2G44120
AT2G01250,AT2G17360
AT2G01250,AT5G59850
AT2G01250,AT5G56030
AT2G01250,AT3G04400
AT2G01250,AT2G33370
AT2G01250,AT1G78380
AT2G01250,ATCG00790
AT2G01250,AT5G27850
AT2G01250,AT3G46040
AT3G17930,AT5G62720
AT3G17930,AT2G39470
AT3G17930,AT1G29395
AT3G17930,AT1G58290
AT3G17930,AT5G62790
AT3G17930,AT1G04940
AT3G17930,AT5G16660
AT3G17930,AT5G12860
AT3G17930,AT4G38100
AT3G17930,AT4G34090
AT3G17930,AT1G50900
AT3G17930,AT1G10960
AT3G17930,AT5G17870
AT3G17930,AT4G34190
AT3G17930,AT4G25700
AT3G17930,AT4G14870
AT3G17930,AT1G54630
AT3G17930,AT4G15510
AT3G17930,AT5G16400
AT3G17930,AT3G12345
AT3G17930,AT4G28025
AT3G17930,AT5G52780
AT3G17930,AT1G32550
AT3G17930,AT5G19370
AT3G17930,AT5G14910
AT3G17930,AT5G21430
AT3G17930,AT5G28500
AT3G17930,AT5G08410
AT3G17930,AT3G54900
AT3G17930,AT5G44650
AT3G17930,AT2G26900
AT3G17930,AT2G21970
AT3G17930,AT1G60950
AT3G17930,AT1G62180
AT3G17930,AT5G38520
AT3G17930,AT1G75460
AT3G17930,AT2G01590
AT3G17930,AT2G35260
AT3G17930,AT5G65220
AT3G17930,AT3G26580
AT3G17930,AT1G54580
AT3G17930,AT5G54290
AT3G17930,AT4G34730
AT3G17930,AT5G47110
AT3G17930,AT2G27290
AT3G17930,AT5G17230
AT3G17930,AT2G04700
AT3G17930,AT5G16710
AT3G17930,AT5G64940
AT3G17930,AT1G14150
AT3G17930,AT1G10500
AT3G17930,AT5G47190
AT3G17930,AT1G09795
AT3G17930,AT3G51510
AT3G17930,AT2G28800
AT3G17930,AT5G35360
AT3G17930,AT3G02690
AT3G17930,AT4G14890
AT3G17930,AT4G31560
AT3G17930,AT1G32080
AT3G17930,AT5G51545
AT3G17930,AT2G26670
AT3G17930,AT5G67030
AT3G17930,AT1G32200
AT3G17930,AT4G17840
AT3G17930,AT5G43750
AT3G17930,AT1G19740
AT3G17930,AT5G17710
AT3G17930,AT4G29670
AT3G17930,AT5G58250
AT2G09990,AT5G23900
AT2G09990,AT5G18380
AT2G09990,AT5G52650
AT2G09990,AT1G74970
AT2G09990,AT3G05590
AT2G09990,AT2G20450
AT2G09990,AT5G27850
AT2G09990,AT5G48760
AT2G09990,AT5G56710
AT2G09990,AT5G23740
