Id,louvain_group,annotation
AT1G04480,0,Protein biosynthesis / ribosome biogenesis
AT2G01250,0,Protein biosynthesis / ribosome biogenesis
AT3G17930,8,Photosynthesis
AT2G09990,0,Protein biosynthesis / ribosome biogenesis
AT5G23900,0,Protein biosynthesis / ribosome biogenesis
AT5G55140,12,Cellular respiration / oxidative phosphorylation
AT5G16400,8,Photosynthesis
AT5G58260,8,Photosynthesis
AT4G28025,8,Photosynthesis
AT5G44650,8,Photosynthesis
AT3G48420,6,Photosynthesis
AT4G01690,6,Photosynthesis
AT1G29930,9,Photosynthesis / photophosphorylation
AT3G27690,9,Photosynthesis / photophosphorylation
AT1G03680,6,Photosynthesis
AT4G25050,6,Photosynthesis
AT1G70760,8,Photosynthesis
AT5G43750,8,Photosynthesis
AT3G06680,0,Protein biosynthesis / ribosome biogenesis
AT4G16720,0,Protein biosynthesis / ribosome biogenesis
AT5G52780,8,Photosynthesis
AT2G47450,6,Photosynthesis
AT3G55040,6,Photosynthesis
AT2G20270,1,mixed
AT3G02780,1,mixed
AT5G08410,8,Photosynthesis
AT2G44050,6,Photosynthesis
AT3G51510,8,Photosynthesis
AT5G18380,0,Protein biosynthesis / ribosome biogenesis
AT5G52650,0,Protein biosynthesis / ribosome biogenesis
AT3G10060,6,Photosynthesis
AT3G51140,6,Photosynthesis
AT1G22700,11,Photosynthesis
AT1G74270,0,Protein biosynthesis / ribosome biogenesis
AT2G05220,0,Protein biosynthesis / ribosome biogenesis
AT4G34090,8,Photosynthesis
AT3G08740,6,Photosynthesis
AT5G14060,6,Photosynthesis
AT2G36620,4,Protein biosynthesis / ribosome biogenesis
AT4G00810,4,Protein biosynthesis / ribosome biogenesis
AT1G78380,3,mixed
AT2G29450,3,mixed
AT5G62720,8,Photosynthesis
AT5G47190,8,Photosynthesis
AT3G52590,4,Protein biosynthesis / ribosome biogenesis
AT4G05320,4,Protein biosynthesis / ribosome biogenesis
AT3G24590,10,Photosynthesis
AT5G52440,10,Photosynthesis
AT2G36880,4,Protein biosynthesis / ribosome biogenesis
AT3G53870,4,Protein biosynthesis / ribosome biogenesis
AT4G04330,8,Photosynthesis
AT5G20935,8,Photosynthesis
AT5G12860,8,Photosynthesis
AT3G27830,6,Photosynthesis
AT3G63190,6,Photosynthesis
AT4G18480,6,Photosynthesis
AT3G26580,8,Photosynthesis
AT4G31560,8,Photosynthesis
AT1G14980,1,mixed
AT5G20720,1,mixed
AT1G22270,15,Protein physical control / plastidial protein translocation and insertion
AT3G06610,15,Protein physical control / plastidial protein translocation and insertion
AT1G65290,2,mixed
AT2G44620,0,Protein biosynthesis / ribosome biogenesis
AT1G54630,8,Photosynthesis
AT1G53670,6,Photosynthesis
AT3G05560,4,Protein biosynthesis / ribosome biogenesis
AT5G61170,4,Protein biosynthesis / ribosome biogenesis
AT4G15510,8,Photosynthesis
AT5G07090,0,Protein biosynthesis / ribosome biogenesis
AT5G22440,4,Protein biosynthesis / ribosome biogenesis
AT1G58080,8,Photosynthesis
AT2G28800,8,Photosynthesis
AT5G07020,10,Photosynthesis
AT2G46820,6,Photosynthesis
AT4G03520,6,Photosynthesis
AT3G18740,0,Protein biosynthesis / ribosome biogenesis
AT3G62870,0,Protein biosynthesis / ribosome biogenesis
AT2G06520,6,Photosynthesis
AT4G05180,6,Photosynthesis
AT1G65930,2,mixed
AT2G36530,2,mixed
AT3G56010,18,Cellular respiration / oxidative phosphorylation
AT5G27280,18,Cellular respiration / oxidative phosphorylation
AT1G15930,4,Protein biosynthesis / ribosome biogenesis
AT2G47610,4,Protein biosynthesis / ribosome biogenesis
AT2G04700,8,Photosynthesis
AT2G28000,1,mixed
AT4G33010,1,mixed
AT3G03070,12,Cellular respiration / oxidative phosphorylation
AT4G28730,6,Photosynthesis
AT2G21330,1,mixed
AT3G55440,2,mixed
AT3G63410,6,Photosynthesis
AT2G43090,18,Cellular respiration / oxidative phosphorylation
AT5G13510,6,Photosynthesis
AT1G19740,8,Photosynthesis
AT5G19370,8,Photosynthesis
AT1G49410,12,Cellular respiration / oxidative phosphorylation
AT2G31490,12,Cellular respiration / oxidative phosphorylation
AT1G07770,0,Protein biosynthesis / ribosome biogenesis
AT2G19740,0,Protein biosynthesis / ribosome biogenesis
AT2G47110,4,Protein biosynthesis / ribosome biogenesis
AT3G62250,4,Protein biosynthesis / ribosome biogenesis
AT1G10500,8,Photosynthesis
AT1G30380,6,Photosynthesis
AT1G79040,6,Photosynthesis
AT2G42750,6,Photosynthesis
AT3G26900,6,Photosynthesis
AT3G02190,0,Protein biosynthesis / ribosome biogenesis
AT5G19760,18,Cellular respiration / oxidative phosphorylation
AT5G23040,18,Cellular respiration / oxidative phosphorylation
AT2G21970,8,Photosynthesis
AT3G62410,6,Photosynthesis
AT3G20390,2,mixed
AT3G52300,2,mixed
AT3G03100,0,Protein biosynthesis / ribosome biogenesis
AT3G12260,0,Protein biosynthesis / ribosome biogenesis
AT3G24830,0,Protein biosynthesis / ribosome biogenesis
AT3G60245,0,Protein biosynthesis / ribosome biogenesis
AT1G73060,18,Cellular respiration / oxidative phosphorylation
AT5G23060,18,Cellular respiration / oxidative phosphorylation
AT2G46910,6,Photosynthesis
AT1G16720,8,Photosynthesis
AT1G32550,8,Photosynthesis
AT2G26500,6,Photosynthesis
AT4G34190,8,Photosynthesis
AT3G46780,6,Photosynthesis
AT3G52150,6,Photosynthesis
AT1G32070,13,mixed
AT1G08570,11,Photosynthesis
AT1G55480,11,Photosynthesis
AT5G38470,-1,mixed
AT1G69620,0,Protein biosynthesis / ribosome biogenesis
AT3G28900,0,Protein biosynthesis / ribosome biogenesis
AT5G28500,8,Photosynthesis
AT3G12345,8,Photosynthesis
AT4G34720,5,Solute transport
AT4G38920,5,Solute transport
AT4G10920,16,mixed
AT4G26110,16,mixed
AT1G23490,7,Cytoskeleton organisation
AT2G47170,7,Cytoskeleton organisation
AT4G01940,18,Cellular respiration / oxidative phosphorylation
AT5G13430,18,Cellular respiration / oxidative phosphorylation
